,idx,class,conversation
433,433,직장 내 괴롭힘 대화," 아무도 안 말리나봐. 그러니까 직장 와서도 왕따 당하시지
 오대리 옷 입는 거 좀 신경 써줄래요? 업무 효율이 안 나요. 오대리 때문에.
 그럼 모르셨어요? 집에 거울이 없으세요?
 말이 좀 심하시네요들.
 우린 조언을 해준건데. 알겠어요"
434,434,직장 내 괴롭힘 대화,"김대리. 일을 이따구로해요?
 무슨 생각인진 모르겠지만 이따구로 일 계속하면 진짜 김대리도 나도 큰일나요. 알아요? 알죠?
 하 어쩌다 이런 꼴통이 우리 부서에 와서 이 고생이야.
 김대리 이번에 참여했던 프로젝트 있죠? 그거도 빠져요. 내가 이름 빼버릴테니까. 이따구로 하는꼴 못봐요.
 이따구로 일을 쳐 하는데 그거라고 잘했을까. 잔말하지말고 이름 빼요. 부서에서 이름 빠지기 싫으면.
 내 알바 아니고 잔말하지 말랬죠. 빨리 자리로 돌아가. 꼴뵈기 싫으니까. 빨리!"
435,435,갈취 대화,"그래 돈좀 줬겠는데?
우와 부럽다 야 나도 한번 신어보면 안돼냐?
신어보고 편하면 나도 엄마한테 사주라고하게
왜? 우리 친구아니야? 얼른 줘봐 신어만 보겠다니까
와 이거 정말 편한데? 너는 쭉 신을 테니까 나 일주일만 빌려 신을게
고맙다 잘신고 돌려줄게"
436,436,협박 대화," 오랜만이다. 잘 지냈냐? 아니 어떻게 연락 한 번 없어?
 잘 지냈겠냐? 군대에서 너한테 당한거만 생각하면 지금도 밤에 잠을 못 자겠어 이 럼아. 야 됬고 지금 당장 사과해. 사과해 이 야
 오히려 좋아 사과하면 어쩌나 괜히 마음이 흔들릴까 걱정 많이 했는데 행정반에서 너네 집 주소랑 가족들 전화번호 다 알아왔거든. 내가 너네 부모님한테 전화해서 싹다 까발리고 너네 집 한번 찾아갈게. 니 부모한테라도 사과 받아야겠다 나.
 너 말조심해. 그러다 진짜 내가 뭔 짓 할지 몰라. 니가 자꾸 이딴 식이면 내가 진짜 니네 동네길동동길동아파트까지 찾아갈지도 몰라왜 동호수까지 함 얘기해봐 진짜 나만 왜 힘들어야하는지 모르겠고 그냥 싹 다 죽이고 감방 가는게 훨씬 속이 후련할 것 같애 그니까 너도 기다리고 있어 이 야.
 웃기네 되도않는 전통타령 그만해. 그게 뭐라고 남의 인생을 짓밟는거야. 너도 똑같이 당해봐 너 같은 쓰레기를 낳은 니 부모 먼저 되봐야 너도 정신을 차리지. 살려 하지마. 걍 가만히 찌그러져 있어."
437,437,기타 괴롭힘 대화,"인스타그램에 왜그렇게 사진을 올려?
별거도 없는 얼굴인데 셀카를 도배해서 물어보는거야
그닥 보고싶지 않은데 최근 피드에 뜨니까
자존감 되게 높은 타입인가봐 적당히 해 나니까 말해주는거야 사람들 다 싫어해
현실이 시궁창이니까 인스타 좋아요나 만족하며 살려는 거겠지"
438,438,협박 대화,"말로 하니깐 우습지? 몇대 좀 맞아야 정신을 차리지?
개새끼가 뭘 잘못했는지도 모르네?
그래도 그건 할 수 없어.
내 친구는 관계없잖아 그냥 내버려둬
못하면 니 친구나 너나 임종할 각오해라"
439,439,협박 대화,"다 죽여버리기전에 여기에 돈 담아!
당.당신 누구야.!
사.사장님.! .
진정? 돈 담으라고 진짜 죽고 싶어서 환장했어? 어!?
이 여자 살리고 싶으면 돈 담아. 빨리 안담아!?
진짜 이 여자 죽여버리기 전에 입 닥치라고!"
440,440,직장 내 괴롭힘 대화,"김대리 내가 말했던 업무처리 다했나?
쯧쯧 이래서 지방대는 안된다니까
말대꾸 하는거야? 난 인서울대학 나왔어 너랑 다르다구
열심히가 아니라 잘해야지 안되겠군 김대리 그냥 사표 쓰는게 어태?
요새 젊은애들 일잘하던데 신입들도 김대리보다 일잘하더라
그냥 처음볼때부터 맘에 안들었어"
441,441,기타 괴롭힘 대화,"야 너 남자친구 생겼어?
와 너 얼굴에도 남자친구가 다 생기는구나 잘생겼어?
야 너 얼굴에도 진짜 남자친구가 있는게 신기하니까 그렇지 너무 웃겨서 눈물날듯
야 모욕이 아니라 너 축하해주려고 하는거야언제 한번 소개해줘봐
내가 언제 괴롭혔어? 난 진심으로 너 축하해주는건데 왜그러는거야 도대체 웃긴애야 증말"
442,442,갈취 대화,"요즘 잘나가더라
무슨일은 우리가 용건이 있어야만 연락하는 사이인가
왜 요즘 잘나가니까 옛날생각은 전혀 안나나보지 몸이 붕떠서 날아다니니까 아래는 전혀 안보여?
그렇겠지 예전 생각은 하고싶지도 않겠지 그래서 내가 예전 기억 싹 지울수 있게 연락한거 아니야
야 내가 다 묻어준다고 너랑 나랑 있었던 일도 지금 이렇게 잘나가시는 분 혹시라도 과거가 발목잡으면 되나 내가 또 의리빼면 시체 아니냐 5장만 주면 조용히 살아줄께"
443,443,직장 내 괴롭힘 대화,"김대리.
 내가 보내준 파일을 아직도 확인 안 했어? 제정신이야?
 그게 핑계야? 장난해?
 됐고 그냥 회사 그만 둬.
 내 말 못 알아들어? 회사 잘리기 싫으면 알아서 그만 두라고"
444,444,갈취 대화,"얌전히 돈만 주면 목숨은 살려드릴게.
 이 새끼도 말을 안 듣네. 그냥 칼에 찔릴래?
 있는 돈 다 드릴게요. 살려만 주세요.
 이게 전부에요.
 하 이 새끼 여기에 숨기고 있었네."
445,445,갈취 대화,"너 그거 좋아보인다? 일로와바
 아니 좀 보게 일로와보라고. 확씨.
 아니 뭐가 안돼. 와보라고. 형이 좀 궁금해서 그래.
 너네는 어떻게 다들 레파토리가 똑같냐. 유품이다. 소중한 거다. 어이가 없네 진짜. 시계 풀어.
 안 내놔? 그래. 넌 가만히 있어. 손목 끊어버릴라니깐.
 야 이거 착용감 뒤진다. 야 꺼져."
446,446,갈취 대화,"안녕하세요? 000씨 맞으시죠?
아들 분이 000 맞죠? 00초등학교 다니는
제가 당신 아들이랑 같이 있는데 돈이 좀 필요해서요
그거는 알꺼없고 돈 입금하면 바로 보낼게요
000만원 입금하세요"
447,447,협박 대화,"야 너 남자친구랑 당장 헤어져
너 안헤어지면 니네집 가서 문 부숴버린다
내가 다 조사해놨어
진짜 니네집가서 너 죽여버릴거니까 알아서해
됐으니까 헤어지라고"
448,448,협박 대화,"어떻게 친구인 네가 내가 좋아한다는 여자와 사귈 수 있냐
거짓말 하지마 내가 여러번 너와 이야기를 나눴었는데 어떻게 모를수가 있어?
내가 듣기에는 그저 변명이고 거짓말인 것 같아
됐어 난 이제 너를 친구로 생각하지 않아 후에 일어날 일들은 네가 감당해야할거야
네가 날 이렇게 만든거야
예진이와 행복해하는 널 볼 수가 없으니 널 죽여버려야겠지
난 정말 예진이 많이 사랑했거든. 그만큼 중요하단 거겠지
이미 늦었어. 난 널 꼭 죽일거야 독약을 타든칼로 널 찔러죽이든
두고봐 네가 어떻게 될지"
449,449,갈취 대화,"너 이자식 빨리 돈 안내놔
너 녀석이 시간 끌어서 경찰 데려오려는것 다 알아
죽여야지 빨리 돈 줘!
너 이 자식
뭐야!
너 진짜 이세상에서 흔적을 아예 없애줘? 어디서 이 자식이"
450,450,직장 내 괴롭힘 대화,"선영씨 오늘 저녁에 약속있어요?
잘됐네. 그럼 남아서 회의록 작성 좀 해줘요. 내가 급하게 일이 생겨서
그러긴 한데 내가 오늘 급한 일이 있어서 어려울 것 같네 부탁해요.
머가 아니라는 거지? 내가 부탁한다고 맛있는거 사줄게 그럼 되는거지?
그래서 뭐 좀 도와달라는데 말이 많어 그렇게 회사 다녀도 돼?"
451,451,기타 괴롭힘 대화,"이거 수학 숙제냐?
그래? 나 안했는데 우리 책바꿀래?
아니 친구 좋다는게 뭐야 좀 도와줘
너는 수학샘이 이뻐하잖아
아니긴 뭐야 수학샘이 너만 그렇게 이뻐하시는데 이거하나 나 못바꿔주니?
애들아 들었어?하지마래.니가뭔데 하지마라야
책 바꾸기 싫으면 이거 채워와 수학시간 되기 전까지"
452,452,협박 대화,"뭐를 말이야?
아니.그건.
비밀로 해주신다고 그러셔서
.
미안해.하지만 그건 너가 잘못한거잖아"
453,453,협박 대화,"이번 기말 고사 전교 1등 해야 한다고 했잖아. 성적이 이게 뭐야?
 내가 과외랑 학원 다 끊어줬는데 뭐 하는 거야?
 내가 너 이러면 핸드폰 뺏는다고 했지?
 내일 영어도 실수하면 눈썹 밀 줄 알아!
 알겠으면 가서 공부해! 머리까지 밀리고 싶지 않으면"
454,454,직장 내 괴롭힘 대화,"너가 휴가를 왜 내? 한게 뭐가 있다고.
휴가는 내라고 있는거 아닌가요?
그러게 얼마나 일을 못하면 피곤해서 휴가를 내.
거기다 말도 대들던대.
그러게 험한 말좀 안나오게 조심해라."
455,455,갈취 대화,"야 어디가냐?
이 누나들이 지금 담배가 땡겨서 말이야. 네 지갑 좀 줄래?
아니 이 누나들이 지금 담배를 안피면 죽을거같아서 그래.
야 우리 지금 죽겠다고. 안 내놔?
아이씨 네 때문에 우리 담배 못피고 있다고. 가진거 다 내놔."
456,456,기타 괴롭힘 대화,"너 태어날 때부터 휠체어 타고 다녔냐?
그러면? 사고났냐?
진짜 불편하겠다 내가 너였으면 그냥 살기 싫었을거같아
맞잖아 혼자 일어나지도 못하고 너가 뭘 혼자서 할 수있는데?
할 수 있으면 일어나봐"
457,457,협박 대화,"뛰어내려.
 너 같은 찐따 새끼는 이 세상에 필요없어. 뭐 하나 할 줄 아는 것도 없고 돈도 없고. 왜 사냐?
 뭐가 미안한데? 그냥 죽어. 죽으라고. 니 얼굴 보면 토나올 것 같으니까 빨리 죽어버려.
 그냥 깔끔하게 떨어져 죽으라고. 니가 죽으면 너네 가족들도 좋아할걸? 너 때문에 존나 쪽팔렸는데 잘 됐다고 할걸?
 그걸 믿냐? 니 편은 아무도 없어. 너같은건 평생 찐따처럼 맞고 삥 뜯기고 살다가 죽는거야. 차라리 지금 죽는게 편하잖아. 자. 어서."
458,458,협박 대화,"아니 나무가 자꾸 울타리를 넘어 우리집까지 오지않나?
늘 죄송하다고만 하지 말고 나는 나무를 별로 좋아하지도 않는 사람이야!
뭐라고?
이해를 왜 내가 해야지? 자꾸 그런식으로 나온다면 내가 가위로 가지를 자르겠네
가만히 있게 자네가 조치를 취하지 않으니 내가 극단적으로 나갈수밖에 자네도 조심하게 나무처럼 댕강잘리기 싫으면!"
459,459,기타 괴롭힘 대화,"지금 뭐하시는 거에요?
지금 자꾸 제 몸을 만지시자나요
그 정도 수준이 아니자나요
사람이 많다고 해도 자꾸 제 몸을 붙이시자나요
그런거랑은 다르잖아요 엄청 불쾌하다구요"
460,460,기타 괴롭힘 대화,"풉 쟤 봐. 봤나봐.
어? 니가 날 그렇게 부른다고?간땡이가 부었네. 
이게 왜 범죄야? 너 이런거 좋아잖아 집에 가서 혼자 몰래 보는 거 같길래 내가 너를 위해 보내 준건데?
너 우리가 남자에 미친 거 모를 거같애? 맨날 혼자 이런 거 보잖아 왜 장르가 달라? 더 수위 높은 거 보내줘?
말해봐 지금 여기에 니 편이 있을까? 애들이 다 내 편인데 너만 거짓말쟁이 될 껄?"
461,461,직장 내 괴롭힘 대화,"어이 너 와봐
그럼 너말고 여기서 누구야? 얼른텨와
너 내가 이거 실수하지말라했어 안했어 이런식으로 일하는거 너 어디 부족하냐?
너 내가 이거 똑바로 하라했지? 
너 내가 오냐오냐 봐주니까 아주 눈에 뵈는게 없구나?"
462,462,직장 내 괴롭힘 대화,"지수씨 끝나고 우리 팀 회식할까요? 다들 괜찮다는데
뭐라고? 지수씨 너무한거 아니야. 다들 지수시 환영파티 한다고 시간맞춘건데.
뭐? 지금 장난해 내일 첫차타고 가 주인공이 없으면되나
지수씨 입사하자마자 회사에서 왕따당하고 싶어?
지수씨 지수씨가 막낸데 우리가 어떻게 막내한테 맞추지 우린 절대 못하니까 지수씨가 바꾸든 해."
463,463,협박 대화,"야. 야 듣고 있어? 듣고 있냐고.
 미친놈이 그러게 내 말 잘 들었어야지. 지금부턴 잘 듣자? 응?
 너가 먼저 내 눈 앞에서 도망치니까 그렇지. 한 번만 더 도망쳐 봐.
 어떻게 되긴 팔 다리 하나씩 분질러서 더 이상 못 도망치게 만들어야지.
 어 나 미친새끼야. 그러니까 이렇게 수갑도 채워뒀지."
464,464,직장 내 괴롭힘 대화,"축하해요.
그런 의미로 오늘 신입이 한턱 쏩니다
원래 이런날엔 신입이 쏘는거지. 한우로 기대할게요
머라고? 부장이 말하는데 어디 토를 달아 좋은날 기분나쁘게 하지말고 그런줄 알어. 나 때는 그게 당연한거였어.
우리 신입은 회사온지 얼마나 되었다고 다시 나가고 싶어?
의견을 물어봐? 그럼 생각이 있다는 거였네 한우로 기대할게 우리 팀 막내"
465,465,직장 내 괴롭힘 대화,"원장님 지금 뭐하시는 거에요?
저 다른 병원들에 다 소문 내신 거 원장님이시잖아요.
제가 부당한 사항 말씀드리고 이직하겠다고 말씀드렸더니 원장님께서 다른 병원들에 제 험담 하셨다는 거 다 알고 왔어요.
사회가 만만하고 쉬운 게 아니라 부당한 부분을 저는 짚어 드린 겁니다.
환자들 과잉진료에 직원들 부당한 차별 그게 그럼 원장님이 잘못하신게 아니라는 말씀이신가요?"
466,466,직장 내 괴롭힘 대화,"과장님 저 오늘 엄마 생신이시라. 조금 곤란할 것 같습니다
김마리씨 사람 그렇게 안봤는데 말야 뭐? 엄마 생신? 회사가 놀이터인줄 알아? 아예 사표 쓰고 가지 그래?
죄송합니다. 
사장님 덕분이죠 언제나 존경하는거 아시죠?
네 알겠습니다."
467,467,기타 괴롭힘 대화," 와 저런 오타쿠가 그랬다고? 꼴값이다 진짜.
 진짜 개어이없네. 내 여자친구도 기분 나쁘대. 너 같은 애가 좋아해서.
 지금 토 나올 것 같은 거 참고 있어 
 . 알겠어. 미안해.
 앞으로도 조심해라. 거슬리게 하지 말고."
468,468,직장 내 괴롭힘 대화,"민아씨 주말에 무슨 약속 있어요?
그래? 잘됐네 그럼 주말에 나 대신 회사 좀 나와서 보고서 좀 작성해줘요.
아니. 주말에 내가 일이 있어서 그게 해야 할 것 같은데 그러 보고서를 또 못쓰니까
머? 내가 부탁하는데?
뭐라고? 회사 그렇게 다니는 거 아니야 장난하는거 아니지?"
469,469,협박 대화,"이봐요 아가씨 이렇게 해도 되는거야?
내가 여기 단골이야 사장님 어디있어?
됐고 당장 불러와 사장
여기 단골인데 이거 하나 못해줘? 진짜 어이가 없어서.
내가 말만 하면 이 가게 다신 못 열어."
470,470,기타 괴롭힘 대화,"그니까 쉬발
 엄마 그만 찾아 벌레년아 내가 넥서스에 묻어놨음 저거 터트려야 찾을 수 있어.
정글 씨발련아 뭐하냐? 채팅 칠 시간에 갱이나 쳐 다녀. 상대 정글 10번 왔어 미친년아.
정글차이
정글차이"
471,471,직장 내 괴롭힘 대화,"류선생은 간단한 일 하나 제대로 못하나
맨날 소파에서 잠이나 자고 말이야
수업 준비도 제대로 안하고 말이야
당신 때문에 우리 학원 학생들이 떨어져 나간단 말이야
뭐 하나 제대로 하는 것도 없고 아이참 답답해"
472,472,협박 대화,"저항하지 마 진짜 죽여버린다
지금 내 말 안들으면 너를 장기매매하는 곳으로 팔아버릴수도 있어
얌전히 있으면 목숨은 살려줄게
지금 이 칼 보여? 허튼짓하면 찔러 죽여버릴거야"
473,473,갈취 대화," 아니 이게 무슨 소리야? 떡볶이가 뭐 어쨌다고?
 아니 무슨 돌이 들었다고 난리야.
 빨리 가요. 경찰에 신고하기 전에.
 이 봐요.
 나 참 말이 안 통하네."
474,474,기타 괴롭힘 대화,"어? 김철우?
아? 너네 집 구멍가게 한다더니 여기가 니네 가게구나 잘됐다.
내가 마침 술 뚫을 데를 찾고 다녔거든 여기가 딱이네.
우리 같은 반 친구아니였어?
아 이새끼 야 너 학교생활 종치고 싶냐? 잔 말 말고 시키는대로 하지그러냐?
니 사정이고 니가 있는 시간에 알아서 올테니까 닥치고 내놔."
475,475,기타 괴롭힘 대화,"넌 절대 이방에서 못나가 
나쁜년아 니가 썸남한테 꼬리쳤잖아 그러고 미안한 기색도 없네??
뭐가 아니라는거야? 봤다는 사람이 몇명인데 내가 진짜 좋아하는거 알았으면서 개년아
꼬신주제에 니 비밀일기장도 몰래 봤어 이년아!!
진짜 너네 왜그래.우리 친했잖아.
그만해.나 진짜 힘들어"
476,476,기타 괴롭힘 대화,"으악 ! 징그러워 !!! 꺼져 !
아 씨 장애인새끼가 꺼지라고!
손가락이 6개야. 어우 너 괴물이야?
아니 손가락 하나 더 있으면 공부도 더 잘하거나 일도 더 잘해야되는 거 아니냐?
으 어쩌다 너 같은 애랑 짝꿍되서 진짜 기분 더럽네."
477,477,협박 대화,"너 지금까지 다 보고있던 거야?
아 씨 피곤해졌네. 언제부터 거기 있었냐? 이 시간에 학교는 왜 다시와?
그럼 내가 유리한테 한 짓 다봤다는 거네?
내가 널 어떻게 믿고? 참 진짜 피곤하네 야 얘들아 쟤 잡아.
내가 말이야. 이렇게 까지 하고싶진 않았는데 니가 입을 달고 있는 한 믿을 수가 없잖아? 그러니까 영영 말을 못하게 혀라도 뽑아야 안심되지 않겠어?"
478,478,기타 괴롭힘 대화,"우리 곧 시험인거 알지?
저번처럼 이번에도 부탁한다??
아니이이 시험칠 때 우리 앞뒤로 앉게 될텐데 니가 먼저 풀고 답안지 넘기라고
얘가 헛소리를 하네? 야 너 잊었냐? 너네 아빠 우리 회사 직원이잖아 효도해야지 안그래?
그거야 니가 이번에 하는 거에 따라 달렸지 잘 부탁한다?"
479,479,직장 내 괴롭힘 대화,"김은희씨. 오늘 일 잘하네요! 다음에도 필요할때 알바 필요하면 연락할께요
오늘 일 성과가 좋아 인센티브 나오죠?
그냥 알아요 그 인센티브 얼마는 나를 줬으면 하는데요
언니. 여기서 계속 일하고 싶으면 내말대로 하는게 좋아요. 
나는 정규직이고 언니는 알바예요. 내한마디면 언닌 다시는 여기서 일못할걸요. "
480,480,기타 괴롭힘 대화,"원투 원투 야 똑바로 서
아이씨 서 있어봐 좀
어디서 소리를 질러?
아. 나 귀 아픈 거 알면서. 너 일부러 그랬어?
야 서봐 다시 인간 샌드백 간다 원투 원투!"
481,481,직장 내 괴롭힘 대화,"아 김팀장 일 못하네
사람이 힘이 없냐 어떻게
그래 갖고 밤일은 해?
신혼이라며 결혼식 때 보니까 와이프 이쁘던데
아 왜 이것도 안돼? 기분 나빴나봐?
사람이 흐리멍덩해가지고 원"
482,482,직장 내 괴롭힘 대화,"어 뭔데? 얘기해
요즘은 아주 멋대로들이구나
이 회사 안에서 너만 힘들어? 
나도 이번 달에 못쉬면서 이렇게 힘들게 일하고 있는데 너는 쉬겠다는 말이 나와? 기가 차서.
이번 달 휴가는 못쓰는걸로 알아. 이번 달은 바쁘니까 이월된 휴가도 다 안쓰는 걸로 알게."
483,483,협박 대화," 당신이 배달앱 리뷰에 내 욕을 써놔서 내가 잘 다니던 직장에서 짤렸다고!
 뭐? 절대 사과는 안하는구만?
 너 내가 지금 번호 집주소 혼자 사는 것도 다 알고 있어. 이런식으로 나오면 칼들고 찾아갈꺼야.
 해 봐 한 번. 저 세상 가고싶으면.
 이제와서 소요없어. 두고 봐."
484,484,협박 대화,"그 사건에 대해 알고있죠 ?
모르는 척 하지마세요 이미 다 알고왔어요. 아는 걸 전부 말해
여기서 죽나 저쪽에서 죽나 죽는건 똑같지 뭐.
이 약은 혈관에 직접 주사하면 10분 내로 심장을 멈춰요. 적어도 5분 이내에 해독제를 투여해야 되죠.
어떻게 하실래요 ?"
485,485,갈취 대화,"애 아가야
아범 몰래 나 돈 천만 주라
그 사랑이 이름으로 꼬박꼬박 저금하는 거 있잖아
애 애미야 사랑이 대학갈 일은 아직 멀었고 나는 이제 언제 죽을지도 모르는 늙은이인데 나한테 양보하는게 맞지 않니?
니가 돈 안주면 나 콱 저녁 밥상에 농약이라도 뿌려서 우리식구들 다 죽여버릴란다 그럼 사랑이도 그돈 못쓰고 죽겠네?
그니까 좋은게 좋은거라고 그냥 좀 주라 며느리한테 이렇게 굽신굽신 거려야겠니?"
486,486,기타 괴롭힘 대화,"너 얼굴 좀 치워봐
치우라면 치워 
잘못한거? 니 얼굴만 보면 짜증나
못생긴게 왜 자꾸 따라다니는 건지 .
미안하다는 말 좀 그만 하고 앞으로 내 앞에 나타나지마"
487,487,갈취 대화,"김씨 저번에 빌려간 돈 이자가 오백만원이야 
계약서에 적혀있잖아 당장 돈 갚아
김씨 죽고 싶어 ? 김씨 신장 하나 잃고 싶어?
돈 없으면 몸으로 갚아야 할 것 아냐
신고? 당신 몸으로 갚아 그럼 야! 김씨가 신장하나 떼 가란다"
488,488,협박 대화,"일을 왜 그딴식으로 밖에 못 해?
그게 문제야 말을하면 들어야지
너는 아는 게 뭐가 있다고 말대꾸야?
너 그냥 죽어라
일도 못하고 말도 못알아 들으니까 죽으라고 죽여줘?"
489,489,협박 대화,"아니 내기를 했으면 정정당당하게 승부를 인정해야지
누가 전화하러 자리 비우래?
아 치고 싶어 죽겠는데 자네가 자리를 비웠잖아
참나 그 돈아까워서 저 난리야? 자네 구질구질하네
아갑자기 왜 급발진하나 손에 든 골프채는 내려놓고 말하세"
490,490,갈취 대화,"이 새끼 이거 봐라 찌질한 새끼. 거지새끼가 어디서 돈이 나서 이렇게 좋은 옷을 입고 학교엘 다 왔대?
 이거 우리 이모가. 뭐? 거지새끼 니네 부모는 거진데 니네 이모는 돈 많다 이거냐? 근데 왜 저번엔 우리한테 돈 못준건데? 어? 거지새끼 대답해봐?
 야 이 거지새끼야. 거지새끼한테 안어울리는 옷을 왜 니새끼가 입고있는거야? 대답해보라고 하잖아.
 벗으라고 무슨뜻인지 몰라?
 아 이새끼 말 존나 못알아듣네. 벗으라고!
 거지새끼한테 이런 게 어울릴 것 같아? 이제부터 이건 내꺼야 임마"
491,491,협박 대화,"악! 뭐야? 오늘 새로 산 옷인데. 중요한 약속이 있다고! 너 때문에 다 망했어.
세탁비? 이 옷이 얼마인지 알고 그렇게 쉽게 말하는거야? 정말 화나는군.
당장 100만원 구해올 수 있어? 없잖아. 나 바쁜 사람이라고.원하는 금액은 됐고 몸으로 때워. 
마침 몸이 근질근질했는데 좀 맞자. 피를 봐야 기분이 풀리겠어.
먼저 잘못했으니까 맞는거지. 쫑알쫑알 더 화가나게 하는군."
492,492,갈취 대화,"아저씨 여기서 자면 안되죠! 제가 집까지 데려다 줄께요.
에이. 왜그래요. 형. 
자 데려다 줄테니 지갑 좀 봅시다.
무슨 일 있으세요? 
도와줘요. 모르는 사람이에요. 
에이. 지갑은 내가 가지고 가. 신고하면 알아서 해."
493,493,직장 내 괴롭힘 대화,"그러게 오대리 돈없어? 가방이 걸레짝이네?
그러기엔 너무 싸구려 아니야? 브랜드 이름도 안보이네?
사람이 진짜 싸구려도 아니고 왜 이런걸 들고 다녀? 진짜 이런 것까지 지적해야하나?
자꾸 이러고 다니면 우리팀 우리회사 욕먹이는거야. 나가봐 누가 그러고 다녀 그 나이에?
진짜 우리 팀 위신떨어져! 누구때문에!"
494,494,직장 내 괴롭힘 대화,"지수씨 주말에 무슨 약속 있어요?
그래요? 잘됐다 그럼 나랑 어디 좀 가요.
아니요. 사적을 가자는건데
뭐가 아니라는 거지? 나랑 어디 가는게 그렇게 싫냐?
뭐라고? 지금 과장 말을 거절해? 제정신이야? 회사 짤리고 싶어?"
495,495,직장 내 괴롭힘 대화,"길동씨 이것 좀 해줘
내가 스타킹이 찢어져서 그것 좀 사다줘
아니 상사가 부탁하면 좀 사다줄 수 있잖아
돈은 내가 줄테니까 사와
일단 길동씨 돈으로 긁고 내가 나중에 줄게
네."
496,496,직장 내 괴롭힘 대화,"헐 김대리님 죄송합니다.
죄송합니다.
아 진짜 짜증나서 길동씨 말이야 손도 느린데다가 일도 너무 못해서 스트레스 받는단 말이야!!! 
아 진짜 짜증나네 길동씨 뭘 그렇게 멍 때리고 서있어요!!
길동씨는 회사와서 밥먹는거 말고 하는게 도대체 뭐야?
이젠 대답도 안하네??
길동씨는 죄송하다는 말 밖에 할줄 아는 말이 없어요?
보기싫으니까 자리로 돌아가요!!"
497,497,협박 대화,"내가 사고낸거 아니야.
아 봣구나.그런데 일부러 그런것은아니야
미안해 다시는 안그럴게.
친구사이에 이러기냐.
한번만 용서해주라"
498,498,갈취 대화,"네 어머니 안녕하세요 형기 담임입니다!!
형기가 요새 성적이 많이 안좋습니다.
제가봤을때는 형기가 열심히해도 정말잘안따라주는거 같아요 그래서 제가 그냥 성적을 올려드릴수도있어요. 근데 어머님이 저에게 성의를 어느정도 보여주시면 바로 해드릴수있어요 
대화가 잘 통하시네요 어머님 기다리고 있겠습니다 "
499,499,기타 괴롭힘 대화,"동현아 너는 왜 맨날 긴팔만 입고다녀?
아 맞다. 너 한쪽 팔 없지
이 여름에 이렇게 더운데 긴팔이라니 
니가 왼손잡이였으면 큰일 났겠다 그치?
아닌가? 애초에 팔이 하나밖에 없으면 선택권이 없는건가? 
내가 뭘? 내가 없는 말을 지어낸 것도 아니고 난 니가 걱정되서 그러지"
500,500,갈취 대화,"자기야 나 필요한거 있는뎅.!
음 나 가방 필요해서 그런데 500만원만 주랑
그거는 내 생일선물이였구우 이번꺼는 그냥 여자친구한테 선물 줄 수 있는거잖아앙!
헐 모야잉 자기야 어차피 결혼하면 자기 돈 내 돈 상관 없이 같이 쓸텐데 나한테 쓰는게 아까워?! 가방 살 돈 안주면 화낸다?!
그럼 사죠 돈 보내놔 알겠징?! 자기야 사랑행"
501,501,직장 내 괴롭힘 대화,"진짜 별로다 김대리
내가 그렇게 말했는데도 아직도 모르겠어?
같은팀 선배대신 자기가 좀 행사 근무 지원나가라니까
아는데 우리때는 후배들이 다나갔어 선배들은 하나도신경안쓰고
그게 당연한건데 요새 젊은 사람들은 너무 자기들 밖에 모르고 자기 권리만 찾잖아 안그래?
봐봐 대답도 정내미 없이 하는거"
502,502,직장 내 괴롭힘 대화,"야 쟤는 오늘도 저 꼴로 왔나봐
저기 내 발 밑에 쓰레기통 있거든? 이것좀 한번 비워줄래? 아 그리고 저기 쓰레기통도 부탁해
아 그랬어? 그럼 저기 사무실 내에 있는 거울 좀 닦아볼래? 너무 더러워서 얼굴이 안보이더라
뭐??? 너 지금 뭐라했어??? 감히 상사 말에 그렇게 대답을 한다고???
허드렛일?? 다이거 누군가는 해야되는 일이야 그걸 너가 하고 있는거고 다 필요한일을 하는건데 왜그래?"
503,503,갈취 대화,"어디그리급히 가시나요?
그건 알필요없고 그 종이가방 엄청 소중히 안고가시네요
경찰이 빠를까요 제가 빠를까요 ?
 질러질러 아이고 사람들 여기와보세요 이아주머니가 저를 치한으로 모네요
 그냥 가세요 종이가방만 고히 놓고 "
504,504,직장 내 괴롭힘 대화,"길동씨 어디까지 했어?
아직도? 왜 이렇게 일을 못해
하. 정말
아니 내가 길동씨 좋으라고 이러는 거야 빨리해 진짜
누가 고졸아니랄까봐."
505,505,기타 괴롭힘 대화,"너는 왜케 돼지냐
어휴 이러니까 따돌림당하지
너 솔직히 200키로 넘지
이 뚱돼지야 그만좀 먹고 꺼져
깝치지말고 가서 밥이나 먹든가"
506,506,갈취 대화,"야 돈 좀 있냐?
나 요즘 완전 거지인데 사고싶은거 생겨서 얼마만 필요한데 일주일 뒤에 바로 갚을게
야 그러지말고 며칠만 빌려주면안돼냐
야 친구끼리 왜 이렇게 째째하게구냐? 그거 좀 빌려주는게 어디 덧나냐? 얼마만 달라고
죽을래? 알바해서라도 만들어서오든지 너네 부모님한테 달라고 하라고"
507,507,기타 괴롭힘 대화,"맞다고 병신아!!
왜.? 듣기 싫어??
어쩌라고 병신아
어쩔껀데 병신아
싫은데 병신아?"
508,508,갈취 대화,"일주일 안에 100만원.
못 구해오면 어쩔 수 없지.
장기를 팔든지 해야지.
그러게 순순히 구해온다고 하면 되잖아.
돈 앞에서 누가 제정신일 수 있겠니."
